,ranking_score,summary_fraction_disordered,summary_iptm,summary_ptm,summary_ranking_score,rosetta_total_score_mean,rosetta_score_mean,rosetta_fa_atr_mean,rosetta_fa_dun_mean,rosetta_fa_elec_mean,rosetta_fa_intra_rep_mean,rosetta_fa_intra_sol_xover4_mean,rosetta_fa_rep_mean,rosetta_fa_sol_mean,rosetta_hbond_bb_sc_mean,rosetta_hbond_lr_bb_mean,rosetta_hbond_sc_mean,rosetta_hbond_sr_bb_mean,rosetta_lk_ball_wtd_mean,rosetta_omega_mean,rosetta_p_aa_pp_mean,rosetta_pro_close_mean,rosetta_rama_prepro_mean,rosetta_ref_mean,rosetta_time_mean,rosetta_yhh_planarity_mean,binding_interface_score_A_B_mean,binding_interface_dG_A_B_mean,binding_interface_delta_sasa_A_B_mean,binding_interface_packstat_A_B_mean,binding_interface_delta_hbond_unsat_A_B_mean,binding_interface_nres_A_B_mean,binding_interface_hbonds_A_B_mean,binding_interface_sc_A_B_mean,binding_interface_dG_dSASA_ratio_A_B_mean,binding_interface_total_hbond_E_A_B_mean,summary_chain_pair_pae_cross_chain_mean,summary_chain_pair_pae_cross_chain_min
ranking_score,1.0,0.3857833278432089,0.9993117993560416,0.9753140087366385,0.9999329328792732,0.13819755466819894,0.13819752307742947,0.19578237180061697,-0.18060704708441563,-0.02102615004472161,-0.25551231952637693,-0.162073200870594,-0.28829624042475027,-0.09092543992737176,0.32326952882614396,0.19476494837845562,0.125388464087152,-0.0010740820659701099,-0.004873527120671427,0.028428381804015183,0.23269556324676505,0.3270732221313037,0.21509259466501857,-0.2513432889452539,-0.32200703363049005,0.2409056040551342,-0.04605931682599189,-0.04605931682599189,-0.3157325491385029,-0.21783335761612493,-0.8248742144956906,-0.36227651971262664,0.43315348878543963,0.7380197664206629,-0.8220524143621596,-0.3377630432924459,-0.9483652587602737,-0.9389198279006645
summary_fraction_disordered,0.3857833278432089,1.0,0.36232103302949736,0.23092626440945713,0.38150854920613475,0.5781265000499853,0.5781264507473812,0.6274179563639393,-0.5541427708160871,0.5437707396582395,-0.6795272646288745,-0.6020554331364062,-0.5569677485100876,-0.6164910057030717,0.18917937865285117,-0.42618164628784827,0.5286725981865188,0.6313441295657796,0.5912480675491956,-0.3715921393561445,0.3478327967841815,0.31124308891303953,0.299225954031044,-0.4472337041328712,-0.6728752237518038,-0.33690036011652974,0.0629683916110663,0.0629683916110663,-0.13654676329096693,0.05955466691229352,-0.12773256078079906,-0.04148817359293927,-0.036151942648680116,0.3463793620384577,-0.16274145498678316,0.19869380594470026,-0.37010623897174666,-0.35854671594675575
summary_iptm,0.9993117993560416,0.36232103302949736,1.0,0.9754972326475013,0.9992306346129649,0.13206322016215583,0.13206319064884373,0.18915611939434707,-0.1716148315911992,-0.029298338808973073,-0.24953642211307608,-0.1487546498550423,-0.2840512912239919,-0.08184625232180165,0.3325963027484836,0.20925827827114932,0.11816226861046247,-0.009961826045274487,-0.016198148711711567,0.029071277623160533,0.23675085740701873,0.31471085133556614,0.20431737054090654,-0.25944587752838866,-0.31422055917429853,0.240503809034509,-0.041514074261990754,-0.041514074261990754,-0.319925211322897,-0.21746043170583448,-0.8288862857373335,-0.3730497430245138,0.43543088809229163,0.7358059252782105,-0.8237474696101229,-0.3408446025989487,-0.9495622798777897,-0.9405968147778798
summary_ptm,0.9753140087366385,0.23092626440945713,0.9754972326475013,1.0,0.9763747265061989,-0.04261773685802979,-0.04261776683825294,0.010437644170144025,-0.04534098312406114,-0.19623731420440835,-0.07272585605442188,-0.023181620458729672,-0.12313083379907208,0.08772363835398743,0.2497605340049303,0.2914041256268342,-0.027074566212874074,-0.19378941139814423,-0.13544805229140594,0.19455487602876537,0.09919905661904344,0.34670738525152484,0.22137559560110692,-0.0780204950469593,-0.14920755915870854,0.34333295656830154,-0.1566964730458285,-0.1566964730458285,-0.2226255262506924,-0.25326429980105475,-0.7932886393750558,-0.27192361291153705,0.5285180928490767,0.7397105014418239,-0.8310048119082083,-0.4659615742384967,-0.9120583919199029,-0.9037103556596454
summary_ranking_score,0.9999329328792732,0.38150854920613475,0.9992306346129649,0.9763747265061989,1.0,0.13784233722450037,0.1378423057060787,0.1948902583210367,-0.18164512528202964,-0.020448281619632025,-0.2541024080234882,-0.16307502822282965,-0.28694741559081627,-0.09085722328570746,0.31863811968642364,0.1991687273145096,0.1275817425341742,-0.002945025903030037,-0.008203067379413046,0.026669085531270537,0.23182304588581584,0.32529879833879327,0.2137411991917496,-0.24510276533442163,-0.32013165109726666,0.24316463010748227,-0.04667531220156473,-0.04667531220156473,-0.314415966000994,-0.2178036732829082,-0.8284165289545444,-0.36092881091707935,0.43429091326940633,0.7342829443465908,-0.820358348387784,-0.33934704292514223,-0.9496255301943132,-0.9403437469398059
rosetta_total_score_mean,0.13819755466819894,0.5781265000499853,0.13206322016215583,-0.04261773685802979,0.13784233722450037,1.0,0.9999999999999967,0.9887526490270138,-0.9037387757871017,0.9434741078100655,-0.9709629570556264,-0.8864121209540551,-0.9463809002944481,-0.9415903971892012,0.43108113997033937,-0.09505873893198181,0.8841679276681947,0.8546155478403339,0.7714503948446045,-0.9191084923490932,0.844723126627454,-0.25102218239652874,0.10918080090143185,-0.5803413518197397,-0.9239134185492429,-0.47538251219123584,0.6133065458370506,0.6133065458370506,-0.49622830657212724,0.26817367525140656,-0.35999136326200154,-0.44295449593638153,-0.5337957233978162,-0.15256564888555074,0.0799750772906227,0.657031668678543,-0.21418477688089943,-0.21798176633229932
rosetta_score_mean,0.13819752307742947,0.5781264507473812,0.13206319064884373,-0.04261776683825294,0.1378423057060787,0.9999999999999967,1.0,0.9887526482098773,-0.9037387844753275,0.9434741171153401,-0.9709629531975434,-0.886412126674487,-0.9463808973028242,-0.9415904008076008,0.43108113129176034,-0.0950587371478774,0.8841679294162895,0.8546155536415883,0.7714503833433396,-0.9191085106263631,0.8447231402869845,-0.2510222144899792,0.10918076596073392,-0.5803413347222941,-0.9239134158185932,-0.4753825491167472,0.6133065574548915,0.6133065574548915,-0.49622830715632316,0.2681737102111971,-0.3599913509424164,-0.4429545053503011,-0.5337957411955391,-0.15256567156574027,0.07997509742187789,0.6570316823505382,-0.2141847422389373,-0.21798173203378424
rosetta_fa_atr_mean,0.19578237180061697,0.6274179563639393,0.18915611939434707,0.010437644170144025,0.1948902583210367,0.9887526490270138,0.9887526482098773,1.0,-0.9224931625412327,0.945182840334301,-0.9821179039731038,-0.8916911921701471,-0.9504728051556679,-0.9618088029558723,0.40801557964103147,-0.16972824417792395,0.8855946249396018,0.8889767390568092,0.7504166220867988,-0.9138517893126239,0.7963688993664326,-0.2816045674076237,0.05168575861294417,-0.5698193132999126,-0.9363942410452701,-0.4903672012136666,0.6327102006598215,0.6327102006598215,-0.5435345228947068,0.2420334330641124,-0.3793179100365499,-0.483798433755482,-0.5384997696209537,-0.04367863724501621,0.01717137555226736,0.6686042219958664,-0.24256987459815618,-0.24262193383991493
rosetta_fa_dun_mean,-0.18060704708441563,-0.5541427708160871,-0.1716148315911992,-0.04534098312406114,-0.18164512528202964,-0.9037387757871017,-0.9037387844753275,-0.9224931625412327,1.0,-0.9075776798596966,0.9227856011990694,0.9656441791750184,0.863732237570312,0.9282053572736847,-0.2813207979571771,0.12768731815998638,-0.8815478243400515,-0.8133093248510357,-0.7317180798119274,0.8398995743953781,-0.7426736473526995,0.26710313232361244,-0.09833686588069186,0.2579117300437223,0.9025029309487472,0.6146063832316935,-0.4947098683904956,-0.4947098683904956,0.42247060096383215,-0.3912056256930835,0.339565984086979,0.33363634177632245,0.4617647406539317,-0.009676518865584143,-0.019759274767395838,-0.5793685427330366,0.1798415438735583,0.17951036578856155
rosetta_fa_elec_mean,-0.02102615004472161,0.5437707396582395,-0.029298338808973073,-0.19623731420440835,-0.020448281619632025,0.9434741078100655,0.9434741171153401,0.945182840334301,-0.9075776798596966,1.0,-0.9098260909992694,-0.9147945684386549,-0.8159450749542528,-0.9846231818240334,0.14113012512261056,-0.32934326022102706,0.9264795557220662,0.9481999595430279,0.6885482748555807,-0.9413929004125059,0.6800349111481473,-0.30225034390422617,-0.04322242824655985,-0.38529342726008436,-0.8700801765405529,-0.6202711414719851,0.5745937617432975,0.5745937617432975,-0.41391465231601376,0.4232760182526151,-0.2107484828060097,-0.31882358596090066,-0.5916961361373738,-0.17712476915770636,0.20617278499605202,0.7056825537500903,-0.021014037597342897,-0.02089287100458959
rosetta_fa_intra_rep_mean,-0.25551231952637693,-0.6795272646288745,-0.24953642211307608,-0.07272585605442188,-0.2541024080234882,-0.9709629570556264,-0.9709629531975434,-0.9821179039731038,0.9227856011990694,-0.9098260909992694,1.0,0.8879902782943365,0.9333335741124863,0.9387051864275916,-0.46581922651023067,0.12634541835211413,-0.8837803933952537,-0.855752493025993,-0.790422773343615,0.8555846517139031,-0.8230043894744407,0.19200096158495186,-0.1693281730432967,0.5982366965641994,0.9565045091333685,0.5538322930359618,-0.5380892834278567,-0.5380892834278567,0.4774756737194078,-0.29417248689531383,0.3619110849797208,0.41590938284135914,0.43700843367956693,-0.031314625666312886,0.02342006189373831,-0.5889679437754879,0.30134529912889596,0.30307040330964463
rosetta_fa_intra_sol_xover4_mean,-0.162073200870594,-0.6020554331364062,-0.1487546498550423,-0.023181620458729672,-0.16307502822282965,-0.8864121209540551,-0.886412126674487,-0.8916911921701471,0.9656441791750184,-0.9147945684386549,0.8879902782943365,1.0,0.8049100619161386,0.9205724148870663,-0.1770169372756172,0.23177511662081998,-0.8800161509214088,-0.8295176234289682,-0.7130307695175797,0.8036862912614924,-0.7302743964078989,0.07558271859713354,-0.1660361994530898,0.21006248303800087,0.9109866475672087,0.636468388586173,-0.38467892510503277,-0.38467892510503277,0.32544979124149354,-0.4863830536959312,0.30652238004614324,0.23000330154459817,0.3964821535315276,0.019426045327375668,-0.02042850309365697,-0.5154915590012273,0.1546670755236602,0.1517429060865677
rosetta_fa_rep_mean,-0.28829624042475027,-0.5569677485100876,-0.2840512912239919,-0.12313083379907208,-0.28694741559081627,-0.9463809002944481,-0.9463808973028242,-0.9504728051556679,0.863732237570312,-0.8159450749542528,0.9333335741124863,0.8049100619161386,1.0,0.8350512996585597,-0.5930697688491511,-0.06063169482328269,-0.7364872255529946,-0.7203536851251676,-0.7543213066835269,0.8359837453887399,-0.8666891161214446,0.27495872435225854,-0.08597253350297783,0.6223014200903281,0.8763242833292629,0.30984011117467314,-0.6246794325433802,-0.6246794325433802,0.5639590991601641,-0.05136767589497803,0.4718471580373686,0.5562552602862817,0.4658285675447499,0.04099741664661208,0.05449612152198155,-0.5739703505159076,0.3504021149912009,0.35269564719785457
rosetta_fa_sol_mean,-0.09092543992737176,-0.6164910057030717,-0.08184625232180165,0.08772363835398743,-0.09085722328570746,-0.9415903971892012,-0.9415904008076008,-0.9618088029558723,0.9282053572736847,-0.9846231818240334,0.9387051864275916,0.9205724148870663,0.8350512996585597,1.0,-0.20116063665088676,0.35346107510677405,-0.9464880105027172,-0.9585752048736254,-0.682998162323899,0.9080340463657156,-0.6644802938778102,0.29453552123198057,-0.010843647215364656,0.4112824726472757,0.9157388735199725,0.6132357200902812,-0.6064027693919481,-0.6064027693919481,0.5018657111730589,-0.39671274676496476,0.275506994559669,0.3950643468507216,0.5867583623070618,0.040570288955604876,-0.06734768297139496,-0.7170198794856778,0.10514107830421023,0.10229110402713265
rosetta_hbond_bb_sc_mean,0.32326952882614396,0.18917937865285117,0.3325963027484836,0.2497605340049303,0.31863811968642364,0.43108113997033937,0.43108113129176034,0.40801557964103147,-0.2813207979571771,0.14113012512261056,-0.46581922651023067,-0.1770169372756172,-0.5930697688491511,-0.20116063665088676,1.0,0.49152163435286744,0.1927902662163343,0.06378306380180804,0.46814088288433914,-0.18890797470856424,0.6747717631031476,-0.08951236440803631,0.49936599879030935,-0.704430601185718,-0.4685109213567598,0.0360603278493126,0.42866538017787686,0.42866538017787686,-0.5021640688717631,-0.1516873850428177,-0.3548832684039269,-0.5654122919783057,-0.20245672416824845,0.05511636012689309,-0.3470118270854121,0.2685880165242965,-0.3757923792194304,-0.3861604624206205
rosetta_hbond_lr_bb_mean,0.19476494837845562,-0.42618164628784827,0.20925827827114932,0.2914041256268342,0.1991687273145096,-0.09505873893198181,-0.0950587371478774,-0.16972824417792395,0.12768731815998638,-0.32934326022102706,0.12634541835211413,0.23177511662081998,-0.06063169482328269,0.35346107510677405,0.49152163435286744,1.0,-0.22481387990387364,-0.5750682062045699,-0.055361892855930246,0.1358948162282148,0.2913856031730634,-0.02801902587995524,0.26851238786781234,-0.04435900014588613,0.20130406607672002,0.4246160936258141,-0.09542451852610967,-0.09542451852610967,0.07789057678780698,-0.35361471362020197,-0.32490386119385356,-0.07415208044067056,0.3059435542999063,-0.2411408148765504,-0.06060059503874275,-0.34153534237715827,-0.3587014420372447,-0.3840629531617361
rosetta_hbond_sc_mean,0.125388464087152,0.5286725981865188,0.11816226861046247,-0.027074566212874074,0.1275817425341742,0.8841679276681947,0.8841679294162895,0.8855946249396018,-0.8815478243400515,0.9264795557220662,-0.8837803933952537,-0.8800161509214088,-0.7364872255529946,-0.9464880105027172,0.1927902662163343,-0.22481387990387364,1.0,0.861047090151131,0.5633857134085271,-0.85302205211419,0.6466465478708845,-0.22554295246693112,0.16852820512710057,-0.3345303981268695,-0.881794406343323,-0.5928030853398343,0.5524216292387127,0.5524216292387127,-0.47763959407379264,0.45246458215457863,-0.3389278428291187,-0.3757369087042207,-0.504344168353623,-0.08690453797770271,-0.0028658435251102733,0.651002055460119,-0.17325417727911763,-0.17622537134242555
rosetta_hbond_sr_bb_mean,-0.0010740820659701099,0.6313441295657796,-0.009961826045274487,-0.19378941139814423,-0.002945025903030037,0.8546155478403339,0.8546155536415883,0.8889767390568092,-0.8133093248510357,0.9481999595430279,-0.855752493025993,-0.8295176234289682,-0.7203536851251676,-0.9585752048736254,0.06378306380180804,-0.5750682062045699,0.861047090151131,1.0,0.6195013957241495,-0.8490358999849259,0.5200652912695185,-0.27231292681599384,-0.11853771771953474,-0.4263429323515149,-0.8368530072355268,-0.6511849219415129,0.5628994242491243,0.5628994242491243,-0.44556851535554476,0.42608619173735457,-0.12707351911987871,-0.32883002886420076,-0.5950691358545958,0.0021956178623450846,0.12358035185624303,0.7172741392698915,0.017801403307769432,0.02604361184114194
