model,seed,sample,binding,ranking_score,summary_chain_iptm,summary_chain_pair_iptm,summary_chain_pair_pae_min,summary_chain_ptm,summary_fraction_disordered,summary_has_clash,summary_iptm,summary_ptm,summary_ranking_score,rosetta_total_score_mean,rosetta_score_mean,rosetta_dslf_fa13_mean,rosetta_fa_atr_mean,rosetta_fa_dun_mean,rosetta_fa_elec_mean,rosetta_fa_intra_rep_mean,rosetta_fa_intra_sol_xover4_mean,rosetta_fa_rep_mean,rosetta_fa_sol_mean,rosetta_hbond_bb_sc_mean,rosetta_hbond_lr_bb_mean,rosetta_hbond_sc_mean,rosetta_hbond_sr_bb_mean,rosetta_lk_ball_wtd_mean,rosetta_omega_mean,rosetta_p_aa_pp_mean,rosetta_pro_close_mean,rosetta_rama_prepro_mean,rosetta_ref_mean,rosetta_time_mean,rosetta_yhh_planarity_mean,rosetta_n_structures,binding_interface_score_A_B_mean,binding_interface_dG_A_B_mean,binding_interface_delta_sasa_A_B_mean,binding_interface_packstat_A_B_mean,binding_interface_delta_hbond_unsat_A_B_mean,binding_interface_nres_A_B_mean,binding_interface_hbonds_A_B_mean,binding_interface_sc_A_B_mean,binding_interface_dG_dSASA_ratio_A_B_mean,binding_interface_total_hbond_E_A_B_mean,binding_n_structures,summary_chain_pair_pae_cross_chain_mean,summary_chain_pair_pae_cross_chain_min,Binding,Target,DesignName
Complex1,1,3,0.0,0.9600475109776664,"[0.82, 0.82]","[[0.75, 0.82], [0.82, 0.83]]","[[0.76, 1.31], [1.2, 0.76]]","[0.75, 0.83]",0.5,0.0,0.9365079365079364,0.857142857142857,0.9642857142857143,0.9059979536593296,0.9059979333579281,0.0,0.9736874145878023,0.0,1.0,0.0,0.0,0.25227309972291123,0.0,0.2667958950422793,0.41277872731345094,1.0,1.0,0.7916763919062066,0.2021960473808618,0.7042398528495175,0.2896311037706663,0.49561792401230903,0.45841733227855974,0.0,0.01982929001151116,111,0.9858826679473406,0.9858826679473406,0.06948711093922315,1.0,0.0,0.3149590573197525,0.09080962800875274,0.8589084802650303,0.19501747798443436,1.0,111,0.009515928837401717,0.013428827215756483,0,BBF-14,Complex1
Complex2,1,2,0.0,0.7890961072379863,"[0.72, 0.72]","[[0.74, 0.72], [0.72, 0.8]]","[[0.76, 1.91], [1.52, 0.76]]","[0.74, 0.8]",0.3333333333333334,0.0,0.7777777777777778,0.7142857142857144,0.7857142857142857,0.589127486974976,0.5891274666735746,0.0,0.5811056218123279,0.6333333150666515,0.37662550184472304,0.3734459794651315,0.5940974608854451,0.35998912049943477,0.5837216098193675,1.0,0.9324287259360584,0.41440033081887456,0.3945659916233803,0.5442232077131617,0.6147568661828334,0.7684052366666881,0.5527665758189421,1.0,0.01787582616684086,0.2861884440831808,0.5927611146102562,111,1.0,1.0,0.0,0.3562328929861653,0.2361809045226131,0.0,0.15207877461706787,0.5011037391087827,0.0,0.9208665250678063,111,0.04757964418700866,0.042076991942703666,0,BBF-14,Complex2
Complex3,1,2,0.0,0.8805009005000125,"[0.76, 0.76]","[[0.77, 0.76], [0.76, 0.79]]","[[0.76, 1.78], [1.66, 0.76]]","[0.77, 0.79]",1.0,0.0,0.8412698412698413,0.7500000000000002,0.875,0.7161029884414166,0.7161029275372122,0.0,0.8459304117921956,0.18554409356152102,0.6750345217211918,0.041453074968807804,0.28249493201525333,0.23871063943170354,0.23509678101345488,0.5663932743738859,0.3727433223421415,0.6038849513395825,0.8116172384087742,0.9437824299333899,0.4846072082652027,0.5058805685458055,0.4361449439448142,0.6370391584131172,0.19334217980452623,0.1772674930569666,0.09192493973025247,111,0.7113590299470894,0.7113590299470894,0.3691412460966929,0.3575893793853332,0.5972720746590093,0.5126822448572,0.2954048140043764,0.9851940026171291,0.3283832278213877,0.8629549140895396,111,0.047993380223417446,0.05461056401074305,0,BBF-14,Complex3
Complex4,1,0,0.0,0.06507666803155081,"[0.28, 0.28]","[[0.71, 0.28], [0.28, 0.91]]","[[0.76, 10.86], [8.57, 0.76]]","[0.71, 0.91]",0.0,0.0,0.07936507936507939,0.14285714285714296,0.07142857142857138,0.2529265130071183,0.2529265333085196,0.0,0.21311897757043416,0.7141398902574374,0.2470848182434937,0.6324093143518588,0.7969839061463212,0.8904747282992401,0.7584330108830618,0.5106010397373258,0.9924183535730163,0.3317558702929576,0.23297742310385483,0.6305770508285895,0.7832244070322754,0.3760252780316033,0.1489999941639576,0.8032224004631092,0.6105851430321276,0.6612815823342136,0.04800946940903079,111,0.6423296650223815,0.6423296650223815,0.6190500987600759,0.8207317494930128,0.927494615936827,0.7523467145995607,0.2155361050328228,0.422383737874524,0.6775756098145526,0.8028291712992488,111,0.7095573024410425,0.6732318710832588,0,BBF-14,Complex4
Complex5,1,0,0.0,0.0,"[0.23, 0.23]","[[0.71, 0.23], [0.23, 0.81]]","[[0.76, 14.23], [12.22, 0.76]]","[0.71, 0.81]",0.1666666666666667,0.0,0.0,0.0,0.0,0.21957827370808275,0.21957831431088576,0.0,0.27045402033483157,0.7276314255690574,0.382710066944738,0.741991250883179,0.6531628093022247,0.8718824106874347,0.6409175563404175,0.026167548023357134,0.0,0.13420068574091967,0.5879161625406082,0.4625913424421431,0.7158528937689944,0.1552355663773495,0.24097018366024908,0.0,0.801936866818079,0.6404524825577456,0.05811958386725453,111,0.7335078414954146,0.7335078414954146,0.473186978225168,0.7486092656496257,1.0,0.5871779508687839,0.0,0.6195302599059603,0.5831486543372298,0.9497587587195393,111,1.0,1.0,0,BBF-14,Complex5
Complex6,1,4,1.0,0.9337806333340566,"[0.82, 0.82]","[[0.76, 0.82], [0.82, 0.85]]","[[0.76, 1.52], [1.3, 0.76]]","[0.76, 0.85]",0.1666666666666667,0.0,0.9365079365079364,0.8928571428571428,0.9285714285714285,0.41175507585283666,0.4117550758528364,0.0,0.46890560552871796,0.7354943703526138,0.23787419754283817,0.4801641586867287,0.8684160300070615,0.42723384742884785,0.7308412715972754,0.7686013384481578,0.9381548851713943,0.0665136134365476,0.3424412946651662,0.696289746305906,0.6718477770883833,0.49766717190679877,0.0,0.07222424923103862,0.0,0.5675675675675674,0.7052103468496836,111,0.9494415059143513,0.9494415059143513,0.11959429129468722,0.25954453943289646,0.22038765254845655,0.21130417415618144,0.2658643326039388,1.0,0.2507191574184235,0.6983435687393965,111,0.022341745966073644,0.022381378692927483,1,BBF-14,Complex6
Complex7,1,1,1.0,1.0,"[0.86, 0.86]","[[0.77, 0.86], [0.86, 0.88]]","[[0.76, 1.23], [1.05, 0.76]]","[0.77, 0.88]",0.1666666666666667,0.0,1.0,1.0,1.0,0.5472462234977629,0.5472462641005658,0.0,0.6522860152627605,0.13602207909321404,0.49691553903251395,0.2634807053411705,0.3183871885086295,0.3111625495210429,0.43488953913291173,0.671589405190061,0.9826067289407698,0.5077418584686948,0.4825911571131069,0.5020414025890082,0.4473316244462891,0.727222128366655,0.1092915628337486,0.2984601753917505,0.6566590961288167,0.2789405947300686,0.0,111,0.8551832105225847,0.8551832105225847,0.13318837649022114,0.5655935574933207,0.1564967695620962,0.09826243259436795,0.3315098468271335,0.9121870063142153,0.04431404510814747,0.7498738650990348,111,0.0,0.0,1,BBF-14,Complex7
Complex8,1,2,1.0,0.9295525755045566,"[0.8, 0.8]","[[0.77, 0.8], [0.8, 0.89]]","[[0.76, 1.61], [1.34, 0.76]]","[0.77, 0.89]",0.3333333333333334,0.0,0.9047619047619049,1.0,0.9285714285714285,0.18521656814430315,0.18521656814430298,0.0,0.1513990573533395,0.7151882150475753,0.06913305327739988,0.6900978638324732,0.6009293041101162,0.7793970314995302,0.940505327811238,0.399730201821498,1.0,0.0,0.0502540583971975,0.6711654128588619,1.0,0.537447299346484,1.0,0.8828801100156204,0.7546762957103109,0.599539389013073,0.3613795799578657,111,0.0,0.0,1.0,0.6743547031713468,0.4802584350323043,1.0,1.0,0.8720596241688573,0.28077205080164536,0.0,111,0.027720314439387665,0.025962399283795887,1,BBF-14,Complex8
Complex9,1,2,1.0,0.770076156956079,"[0.72, 0.72]","[[0.76, 0.72], [0.72, 0.81]]","[[0.76, 1.53], [1.2, 0.76]]","[0.76, 0.81]",0.3333333333333334,0.0,0.7777777777777778,0.6785714285714287,0.7678571428571428,0.3217584351257434,0.32175845542714476,0.0,0.35335102211633745,0.8225894068545289,0.3351181444473617,0.5204672208776175,0.775382325198628,0.7890497536752926,0.670304926075198,0.2689559577236317,0.545350342731142,0.3118293449820576,0.4932333626322795,0.2722687038799214,0.6005782048701618,0.445752817388026,0.6589183479331656,0.18190932000535434,0.15974685482430442,0.572072072072072,0.0714332254631541,111,0.3525116843215332,0.3525116843215332,0.7314969943310785,0.5534269456575356,0.568557071069634,0.592370681046535,0.7975929978118161,0.7372526523348086,0.37832393960454613,0.3436746347744011,111,0.018618121638394693,0.013428827215756483,1,BBF-14,Complex9
Complex10,1,1,1.0,0.17236642601434515,"[0.34, 0.34]","[[0.74, 0.34], [0.34, 0.69]]","[[0.76, 7.28], [5.67, 0.76]]","[0.74, 0.69]",0.3333333333333334,0.0,0.17460317460317462,0.07142857142857148,0.17857142857142852,1.0,1.0,0.0,1.0,0.06232267783063488,0.960885866442843,0.010117105876340668,0.13934078153872137,0.0,0.1698690524408035,0.5539660252370717,0.9589203719518216,0.6621923490139122,0.7993547840669694,1.0,0.0,1.0,0.1140187570397259,0.1434419017374072,0.19376323780845622,0.2379258958206326,0.05289620572073922,111,0.8861463806585332,0.8861463806585332,0.5468401361641827,0.5112616907857356,0.5915290739411343,0.5030956660675056,0.06236323851203498,0.0,1.0,0.9866248509664503,111,0.44145635084815876,0.41360787824529993,1,BBF-14,Complex10
Complex11,1,4,1.0,0.6335030330592337,"[0.62, 0.62]","[[0.75, 0.62], [0.62, 0.89]]","[[0.76, 3.36], [2.73, 0.76]]","[0.75, 0.89]",0.0,0.0,0.6190476190476191,0.7500000000000002,0.6428571428571429,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.9556974735430889,0.024012926610414324,0.0,0.0,0.8274407780814445,0.0,0.2812330390022701,0.03549077280673679,1.0,1.0,1.0,111,0.5404380771557986,0.5404380771557986,0.5688093845566581,0.0,0.37903804737975594,0.5480327541441983,0.5601750547045953,0.517009116174867,0.40524001471475485,0.3939344210983148,111,0.1576334298717418,0.1504028648164727,1,BBF-14,Complex11
