feature,n_nonbinder,n_binder,nonbinder_mean,binder_mean,u_statistic,p_value_raw,cliffs_delta,auc_metric_raw_direction,auc_metric_best_direction,p_value_fdr_bh
rosetta_total_score_mean,3,4,-735.1480810810812,-920.1467184684685,12.0,0.05714285714285714,-1.0,0.0,1.0,0.2714285714285714
rosetta_score_mean,3,4,-735.1481051051052,-920.1467207207207,12.0,0.05714285714285714,-1.0,0.0,1.0,0.2714285714285714
rosetta_rama_prepro_mean,3,4,-7.527420420420417,-22.480407657657658,12.0,0.05714285714285714,-1.0,0.0,1.0,0.2714285714285714
binding_interface_total_hbond_E_A_B_mean,3,4,-4.874841091535912,-9.08730976788901,12.0,0.05714285714285714,-1.0,0.0,1.0,0.2714285714285714
summary_fraction_disordered,3,4,0.06666666666666667,0.04,11.5,0.07182815632096821,-0.9166666666666666,0.04166666666666667,0.9583333333333334,0.2714285714285714
rosetta_fa_intra_rep_mean,3,4,2.3003573573573575,2.813022522522522,1.0,0.11428571428571428,0.8333333333333334,0.9166666666666667,0.9166666666666667,0.2714285714285714
rosetta_fa_intra_sol_xover4_mean,3,4,43.031903903903896,52.53412612612612,1.0,0.11428571428571428,0.8333333333333334,0.9166666666666667,0.9166666666666667,0.2714285714285714
rosetta_fa_rep_mean,3,4,146.2352672672673,170.0289099099099,1.0,0.11428571428571428,0.8333333333333334,0.9166666666666667,0.9166666666666667,0.2714285714285714
rosetta_fa_sol_mean,3,4,744.7039999999998,925.172434684685,1.0,0.11428571428571428,0.8333333333333334,0.9166666666666667,0.9166666666666667,0.2714285714285714
rosetta_hbond_lr_bb_mean,3,4,-81.93786486486486,-69.17491441441442,1.0,0.11428571428571428,0.8333333333333334,0.9166666666666667,0.9166666666666667,0.2714285714285714
rosetta_time_mean,3,4,280.03003003003005,399.77252252252254,1.0,0.11428571428571428,0.8333333333333334,0.9166666666666667,0.9166666666666667,0.2714285714285714
binding_interface_hbonds_A_B_mean,3,4,5.135135135135135,7.6824324324324325,1.0,0.11428571428571428,0.8333333333333334,0.9166666666666667,0.9166666666666667,0.2714285714285714
rosetta_fa_atr_mean,3,4,-1238.1687807807805,-1525.0492229729728,11.0,0.11428571428571428,-0.8333333333333334,0.08333333333333334,0.9166666666666666,0.2714285714285714
rosetta_fa_elec_mean,3,4,-452.18047447447424,-554.9975900900901,11.0,0.11428571428571428,-0.8333333333333334,0.08333333333333334,0.9166666666666666,0.2714285714285714
rosetta_hbond_sc_mean,3,4,-39.23977477477478,-53.28526351351353,11.0,0.11428571428571428,-0.8333333333333334,0.08333333333333334,0.9166666666666666,0.2714285714285714
rosetta_lk_ball_wtd_mean,3,4,-20.979078078078086,-24.915441441441445,11.0,0.11428571428571428,-0.8333333333333334,0.08333333333333334,0.9166666666666666,0.2714285714285714
rosetta_fa_dun_mean,3,4,260.72615015015015,306.8228355855856,2.0,0.22857142857142856,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.39480519480519477
binding_interface_delta_sasa_A_B_mean,3,4,1656.3292616665105,2048.4339754834496,2.0,0.22857142857142856,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.39480519480519477
rosetta_hbond_sr_bb_mean,3,4,-78.14429129129128,-126.57802252252253,10.0,0.22857142857142856,-0.6666666666666666,0.16666666666666669,0.8333333333333333,0.39480519480519477
rosetta_p_aa_pp_mean,3,4,-54.07490390390392,-60.510481981982,10.0,0.22857142857142856,-0.6666666666666666,0.16666666666666669,0.8333333333333333,0.39480519480519477
binding_interface_score_A_B_mean,3,4,-53.32410195477954,-63.724089627298,10.0,0.22857142857142856,-0.6666666666666666,0.16666666666666669,0.8333333333333333,0.39480519480519477
binding_interface_dG_A_B_mean,3,4,-53.32410195477954,-63.724089627298,10.0,0.22857142857142856,-0.6666666666666666,0.16666666666666669,0.8333333333333333,0.39480519480519477
rosetta_omega_mean,3,4,24.97937237237237,30.47511036036036,3.0,0.4,0.5,0.75,0.75,0.608
rosetta_pro_close_mean,3,4,1.128339339339339,0.8754527027027028,9.0,0.4,-0.5,0.25,0.75,0.608
binding_interface_dG_dSASA_ratio_A_B_mean,3,4,-0.03242692681467133,-0.03138284325298615,3.0,0.4,0.5,0.75,0.75,0.608
binding_interface_nres_A_B_mean,3,4,66.98498498498499,70.8918918918919,4.0,0.6285714285714286,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.8846560846560847
binding_interface_packstat_A_B_mean,3,4,0.6048392265170728,0.5883166407398503,8.0,0.6285714285714286,-0.3333333333333333,0.33333333333333337,0.6666666666666666,0.8846560846560847
summary_ptm,3,4,0.8066666666666666,0.8225,4.5,0.7212766990291557,0.25,0.625,0.625,0.9047619047619048
summary_chain_pair_pae_cross_chain_min,3,4,1.46,1.5699999999999998,7.5,0.7212766990291557,-0.25,0.375,0.625,0.9047619047619048
rosetta_hbond_bb_sc_mean,3,4,-27.985582582582584,-32.13146846846847,7.0,0.8571428571428571,-0.16666666666666666,0.41666666666666663,0.5833333333333334,0.9047619047619048
binding_interface_sc_A_B_mean,3,4,0.6755079249361972,0.6771297887773127,5.0,0.8571428571428571,0.16666666666666666,0.5833333333333334,0.5833333333333334,0.9047619047619048
summary_chain_pair_pae_cross_chain_mean,3,4,1.5633333333333332,1.74,7.0,0.8571428571428571,-0.16666666666666666,0.41666666666666663,0.5833333333333334,0.9047619047619048
ranking_score,3,4,0.8108117742909245,0.7873853553286208,7.0,0.8571428571428571,-0.16666666666666666,0.4166666666666667,0.5833333333333333,0.9047619047619048
summary_ranking_score,3,4,0.81,0.7875,7.0,0.8571428571428571,-0.16666666666666666,0.4166666666666667,0.5833333333333333,0.9047619047619048
rosetta_ref_mean,3,4,41.55499999999993,59.65074999999999,5.0,0.8571428571428571,0.16666666666666666,0.5833333333333333,0.5833333333333333,0.9047619047619048
rosetta_yhh_planarity_mean,3,4,0.429795795795796,0.6034504504504503,5.0,0.8571428571428571,0.16666666666666666,0.5833333333333333,0.5833333333333333,0.9047619047619048
summary_iptm,3,4,0.7666666666666666,0.755,6.0,1.0,0.0,0.5,0.5,1.0
binding_interface_delta_hbond_unsat_A_B_mean,3,4,6.486486486486487,7.155405405405406,6.0,1.0,0.0,0.5,0.5,1.0
